name,name_id,edu_type,university,university_id,qualification,award_date
D'Ann Harper,766893,Professional Qualifications,Council of Real Estate Brokerage Managers (CRB),129792,Certified Residential Brokerage (CRB),
D'Ann Harper,766893,Professional Qualifications,Council of Residential Specialists (CRS),129777,Certified Residential Specialists (CRS),
D'Ann Harper,766893,Education,Certified International Property Specialist,734019,Certified International Property Specialist (CIPS),
D'Ann Harper,766893,Professional Qualifications,Graduate Realtor Institute (GRI),129762,Graduate Realtor Institute (GRI),
Sanford Garner,766894,Education,Howard University,60889,Studied,1993-01-01
Sanford Garner,766894,Education,University of California Los Angeles (UCLA),62218,Graduated,
Karen Gentleman,766895,Education,Wellesley College,62904,BA (Hons),1977-01-01
Karen Gentleman,766895,Education,Indiana University,60920,MBA,1985-01-01
Baron Herdelin-Doherty,766896,Education,Auburn University,1354261,BA,1983-01-01
Gene Glick,766897,Education,Indiana University School of Business,795916,BS,
Darrin Gray,766898,Education,Hanover College,119077,BA,1989-01-01
Dave Griffiths,766899,Education,Purdue University,61638,Degree,1957-01-01
Jon King,766902,Education,Butler University,79061,BS,
Jon Herrera,766904,Education,University of Texas at San Antonio,79131,BA,1992-01-01
Bob Lauth Jr,766905,Education,Purdue University,61638,Bachelor's Degree,
Justin Holley,766906,Education,University of Wisconsin,63062,Associate Degree,
Justin Holley,766906,Education,University of Wisconsin,63062,BS,1995-01-01
Joe Loftus,766907,Education,Indiana University,60920,MS,1978-01-01
Joe Loftus,766907,Education,Indiana University School of Law,78801,JD,1983-01-01
Joe Loftus,766907,Education,University of Delaware,79387,BA,1976-01-01
Carey Lykins,766908,Education,Indiana University,60920,BS,1973-01-01
Carey Lykins,766908,Education,Indiana University,60920,MBA,1981-01-01
Carey Lykins,766908,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Doctor Patricia Maryland,766910,Education,University of Pittsburgh,62593,PhD,
Doctor Patricia Maryland,766910,Education,University of California,63186,Masters Degree,
Doctor Patricia Maryland,766910,Education,Alabama State University (Formerly known as Alabama State College),485107,Bachelor's Degree,
Bob McConnell,766912,Education,Indiana University,60920,Attended,
Cheryl Melancon,766915,Education,Indiana University Bloomington,1337103,BS,1979-01-01
Anita Begovic,766916,Education,Cleveland State University,60385,BBA,2004-01-01
Donea Boiner,766917,Education,Ohio State University (OSU),61523,BA,1999-01-01
Monica Chase,766918,Education,University of St Andrews,127602,Studied,
Monica Chase,766918,Education,University of Pennsylvania,62579,BA (Cum Laude),2005-01-01
Chris Croissant,766919,Education,St Olaf College,79564,BA (Cum Laude),1988-01-01
Elliot Fuchs,766920,Education,University of Pittsburgh,62593,BS,2004-01-01
Madden Globerman,766921,Education,University of Richmond,62632,BSBA,2005-01-01
Deb Jorde,766922,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Deb Jorde,766922,Education,Pace University,61563,BA,
Richards Hanley,766924,Education,Kent State University,61063,BS,1992-01-01
Graham Hearns,766925,Education,Miami University Ohio,61276,BS,1994-01-01
Michael Kaplan,766926,Education,Columbia Law School,64891,JD (Hons),1998-01-01
Michael Kaplan,766926,Education,University at Albany State University of New York (State University of New York at Albany (SUNYA)),875874,BA,
Greg Glass,766927,Education,Iowa State University,1246304,BS,
Daniel Ilundain,766928,Professional Qualifications,Institute of Chartered Financial Analysts (ICFA) (USA),41274,Chartered Financial Analyst,2001-01-01
Daniel Ilundain,766928,Education,Escuela de Finanzas (School of Finance),1735797,Masters Degree,2000-01-01
Daniel Ilundain,766928,Education,Staffordshire University,61933,BS,1997-01-01
Daniel Ilundain,766928,Education,IESE Business School Universidad de Navarra (Instituto de Estudios Superiores de la Empresa),63391,Graduated,2004-01-01
Daniel Ilundain,766928,Education,Universidad de Navarra (University of Navarra),591485,BS,1998-01-01
Daniel Ilundain,766928,Professional Qualifications,HTI Business School,1247818,Masters Degree,
Gentry Klein,766929,Education,Wharton School University of Pennsylvania,64966,BS,2001-01-01
Pam Hendrickson,766930,Education,Duke University,60547,BA (Cum Laude),1982-01-01
Pam Hendrickson,766930,Education,Kellogg School of Management Northwestern University,77878,MBA (Cum Laude),1984-01-01
Anna Kelleher,766932,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Anna Kelleher,766932,Education,Carroll School of Management Boston College,117631,BS,2000-01-01
Rocky Pontikes,766933,Education,Wharton School University of Pennsylvania,64966,BS,1995-01-01
